"ano","sequencial_candidato","nome","uf","partido","quantidade_doacoes","quantidade_doadores","total_receita","media_receita","recursos_de_outros_candidatos.comites","recursos_de_pessoas_fisicas","recursos_de_pessoas_juridicas","recursos_proprios","recursos_de_partido_politico","quantidade_despesas","quantidade_fornecedores","total_despesa","media_despesa","cargo","sexo","grau","estado_civil","ocupacao","situacao"
2006,10001,"JOSÉ LUIZ NOGUEIRA DE SOUSA","AP","PT",6,6,16600,2766.67,0,9000,6300,1300,0,14,14,16583.6,1184.54,"DEPUTADO FEDERAL","MASCULINO","ENSINO MÉDIO COMPLETO","CASADO(A)","VEREADOR","nao_eleito"
2006,10002,"LOIVA DE OLIVEIRA","RO","PT",13,13,22826,1755.85,6625,15000,1000,201,0,24,23,20325.99,846.92,"DEPUTADO FEDERAL","FEMININO","SUPERIOR COMPLETO","SOLTEIRO(A)","SERVIDOR PÚBLICO ESTADUAL","nao_eleito"
2006,10002,"MARIA DALVA DE SOUZA FIGUEIREDO","AP","PT",17,16,158120.8,9301.22,2250,34150,62220.8,59500,0,123,108,146011.7,1187.09,"DEPUTADO FEDERAL","FEMININO","SUPERIOR COMPLETO","VIÚVO(A)","PEDAGOGO","eleito"
2006,10002,"ROMALDO MILANI","MS","PRONA",6,6,3001.12,500.19,0,1150,1101.12,750,0,8,8,3001.12,375.14,"DEPUTADO FEDERAL","MASCULINO","ENSINO MÉDIO INCOMPLETO","CASADO(A)","MILITAR REFORMADO","nao_eleito"
2006,10003,"ANSELMO DE JESUS ABREU","RO","PT",48,48,119820,2496.25,0,50878,0,68942,0,133,120,116416.64,875.31,"DEPUTADO FEDERAL","MASCULINO","ENSINO FUNDAMENTAL COMPLETO","CASADO(A)","DEPUTADO","eleito"
2006,10003,"HELIO BORGES DE SOUSA ESTEVES FILHO","AP","PT",8,8,42668.26,5333.53,2250,1418.26,0,39000,0,38,37,42668.25,1122.85,"DEPUTADO FEDERAL","MASCULINO","SUPERIOR COMPLETO","CASADO(A)","ENGENHEIRO","nao_eleito"
2006,10003,"JOSÉ RODRIGUES DOS SANTOS NETO","PI","PCO",6,6,1771.21,295.2,0,0,0,1771.21,0,9,9,1771.21,196.8,"DEPUTADO FEDERAL","MASCULINO","SUPERIOR COMPLETO","CASADO(A)","SERVIDOR PÚBLICO FEDERAL","nao_eleito"
2006,10003,"JOSÉ TOMAZ DA SILVA","MS","PRONA",14,7,1231,87.93,0,1231,0,0,0,17,10,696.91,40.99,"DEPUTADO FEDERAL","MASCULINO","SUPERIOR COMPLETO","CASADO(A)","MÉDICO","nao_eleito"
2006,10003,"LUIZ CARLOS MUNHOZ MEIRA","MG","PPS",2,2,70000,35000,0,0,0,70000,0,332,278,66016.95,198.85,"DEPUTADO FEDERAL","MASCULINO","SUPERIOR COMPLETO","CASADO(A)","SERVIDOR PÚBLICO FEDERAL","nao_eleito"
2006,10003,"TADEU DE ALENCAR RIBEIRO","DF","PAN",5,3,11570,2314,0,0,0,0,11570,51,33,7570,148.43,"DEPUTADO FEDERAL","MASCULINO","ENSINO MÉDIO COMPLETO","SOLTEIRO(A)","APOSENTADO (EXCETO SERVIDOR PÚBLICO)","nao_eleito"
